dataset,model,acc,time,args,source
chameleon,MLP,35.00±3.29,26.80,"{'seed': 42, 'gpu': '6', 'runs': 10, 'dataset': 'chameleon', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 0.0001, 'patience': 100, 'nhidden': 32, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'MLP', 'dropout': 0.5}",critical
chameleon,MixHop,44.61±3.16,29.58,"{'seed': 42, 'gpu': '7', 'runs': 10, 'dataset': 'chameleon', 'source': 'critical', 'epochs': 2000, 'lr': 0.005, 'l2_coef': 0.0001, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'MixHop', 'layers_1': [200, 200, 200], 'dropout': 0.5, 'layers_2': [200, 200, 200], 'lambd': 0.0005, 'cut_off': 0.1, 'budget': 60}",critical
chameleon,H2GCN,38.09±2.63,33.76,"{'seed': 42, 'gpu': '7', 'runs': 10, 'dataset': 'chameleon', 'source': 'critical', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 0.0001, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'H2GCN', 'dropout': 0.5, 'use_relu': True, 'k': 2, 'hidden_dim': 64}",critical
squirrel,MLP,34.00±2.44,8.85,"{'seed': 42, 'gpu': '6', 'runs': 10, 'dataset': 'squirrel', 'source': 'critical', 'epochs': 2000, 'lr': 0.05, 'l2_coef': 0.0, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'MLP', 'dropout': 0.5}",critical
chameleon,GCN,41.46±3.42,36.46,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'chameleon', 'source': 'critical', 'epochs': 2000, 'lr': 0.05, 'l2_coef': 0.0, 'patience': 200, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GCN', 'dropout': 0}",critical
chameleon,HOGGCN,38.43±3.66,42.16,"{'seed': 42, 'gpu': '2', 'runs': 10, 'dataset': 'chameleon', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 0.001, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'HOGGCN', 'nhid1': 512, 'nhid2': 256, 'dropout': 0.5, 'adj': tensor([[1., 0., 0.,  ..., 0., 0., 0.],
        [0., 1., 0.,  ..., 0., 0., 0.],
        [0., 0., 1.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 1., 0., 0.],
        [0., 0., 0.,  ..., 0., 1., 0.],
        [0., 0., 0.,  ..., 0., 0., 1.]])}",critical
chameleon,GAT,40.69±3.20,42.47,"{'seed': 42, 'gpu': '5', 'runs': 10, 'dataset': 'chameleon', 'source': 'critical', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GAT', 'dropout': 0.5}",critical
chameleon,ACMGCN,43.03±3.08,57.60,"{'seed': 42, 'gpu': '1', 'runs': 10, 'dataset': 'chameleon', 'source': 'critical', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 1e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'ACMGCN', 'dropout': 0.8, 'structure_info': 1, 'variant': 1, 'nhid': 64, 'nlayers': 1, 'init_layers_X': 1, 'acm_model': 'acmgcnp', 'nnodes': 890}",critical
chameleon,OrderedGNN,42.13±3.04,136.52,"{'seed': 42, 'gpu': '0', 'runs': 10, 'dataset': 'chameleon', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 5e-05, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'OrderedGNN', 'dropout': 0.8, 'dropout2': 0.1, 'global_gating': False, 'num_layers_input': 2, 'chunk_size': 64, 'hidden_channel': 512, 'num_layers': 8, 'add_self_loops': False, 'simple_gating': False, 'tm': True, 'diff_or': True}",critical
chameleon,GCNII,42.13±2.04,63.92,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'chameleon', 'source': 'critical', 'epochs': 2000, 'lr': 0.005, 'l2_coef': 0.0001, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 8, 'model': 'GCNII', 'dropout': 0.5, 'alpha': 0.2, 'lammbda': 1.5, 'variant': True}",critical
chameleon,GPRGNN,41.63±2.86,69.35,"{'seed': 42, 'gpu': '6', 'runs': 10, 'dataset': 'chameleon', 'source': 'critical', 'epochs': 2000, 'lr': 0.05, 'l2_coef': 0.0005, 'patience': 100, 'nhidden': 64, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GPRGNN', 'alpha': 0.1, 'nlayers': 16, 'dprate': 0.7, 'init': 'PPR', 'dropout': 0.5, 'gamma': None}",critical
chameleon,GGCN,38.54±3.99,78.42,"{'seed': 42, 'gpu': '4', 'runs': 10, 'dataset': 'chameleon', 'source': 'critical', 'epochs': 2000, 'lr': 0.01, 'l2_coef': 1e-05, 'patience': 100, 'nhidden': 80, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'GGCN', 'dropout': 0.6, 'decay_rate': 0.9, 'nlayers': 8, 'use_sparse': False, 'use_degree': True, 'use_sign': True, 'use_decay': True, 'use_bn': False, 'use_ln': False, 'exponent': 3.0, 'scale_init': 0.5, 'deg_intercept_init': 0.5}",critical
squirrel,MixHop,41.35±1.04,51.64,"{'seed': 42, 'gpu': '7', 'runs': 10, 'dataset': 'squirrel', 'source': 'critical', 'epochs': 2000, 'lr': 0.001, 'l2_coef': 0.001, 'patience': 100, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 1, 'model': 'MixHop', 'layers_1': [200, 200, 200], 'dropout': 0.5, 'layers_2': [200, 200, 200], 'lambd': 0.0005, 'cut_off': 0.1, 'budget': 60}",critical
squirrel,GCN,37.06±1.42,55.33,"{'seed': 42, 'gpu': '3', 'runs': 10, 'dataset': 'squirrel', 'source': 'critical', 'epochs': 2000, 'lr': 0.05, 'l2_coef': 0.001, 'patience': 200, 'nhidden': 128, 'undirected': True, 'self_loop': True, 'normalize': -1, 'layers': 2, 'model': 'GCN', 'dropout': 0.5}",critical
